"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","optimization","compiler","time"
"1","53",1,"53.1","512","2","O3","gcc",0.144429
"2","58",2,"58.1","724","4","O3","gcc",0.314401
"3","33",3,"33.1","512","1","O2","gcc",0.286600
"4","97",4,"97.1","512","1","O2","clang",0.286353
"5","42",5,"42.1","724","4","O2","gcc",0.345997
"6","49",6,"49.1","512","1","O3","gcc",0.286512
"7","119",7,"119.1","1024","2","O3","clang",2.096168
"8","24",8,"24.1","1448","2","O1","gcc",6.383076
"9","62",9,"62.1","724","8","O3","gcc",0.323524
"10","73",10,"73.1","512","4","O0","clang",0.279183
"11","90",11,"90.1","724","4","O1","clang",0.315702
"12","110",12,"110.1","724","8","O2","clang",0.310234
"13","122",13,"122.1","724","4","O3","clang",0.316015
"14","50",14,"50.1","724","1","O3","gcc",0.916104
"15","70",15,"70.1","724","2","O0","clang",1.746374
"16","75",16,"75.1","1024","4","O0","clang",3.044405
"17","60",17,"60.1","1448","4","O3","gcc",3.657365
"18","98",18,"98.1","724","1","O2","clang",0.913639
"19","15",19,"15.1","1024","8","O0","gcc",3.131901
"20","27",20,"27.1","1024","4","O1","gcc",1.195864
"21","91",21,"91.1","1024","4","O1","clang",1.195393
"22","8",22,"8.1","1448","2","O0","gcc",17.478687
"23","45",23,"45.1","512","8","O2","gcc",0.101255
"24","80",24,"80.1","1448","8","O0","clang",9.152245
"25","84",25,"84.1","1448","1","O1","clang",11.969480
"26","46",26,"46.1","724","8","O2","gcc",0.328500
"27","93",27,"93.1","512","8","O1","clang",0.099522
"28","59",28,"59.1","1024","4","O3","gcc",1.224352
"29","78",29,"78.1","724","8","O0","clang",0.930122
"30","68",30,"68.1","1448","1","O0","clang",34.358599
"31","67",31,"67.1","1024","1","O0","clang",11.841395
"32","117",32,"117.1","512","2","O3","clang",0.145441
"33","104",33,"104.1","1448","2","O2","clang",6.097464
"34","7",34,"7.1","1024","2","O0","gcc",6.069899
"35","9",35,"9.1","512","4","O0","gcc",0.284077
"36","103",36,"103.1","1024","2","O2","clang",2.088997
"37","13",37,"13.1","512","8","O0","gcc",0.284303
"38","127",38,"127.1","1024","8","O3","clang",1.304876
"39","23",39,"23.1","1024","2","O1","gcc",2.168523
"40","126",40,"126.1","724","8","O3","clang",0.312613
"41","44",41,"44.1","1448","4","O2","gcc",3.596348
"42","69",42,"69.1","512","2","O0","clang",0.552527
"43","83",43,"83.1","1024","1","O1","clang",4.022611
"44","76",44,"76.1","1448","4","O0","clang",8.935904
"45","56",45,"56.1","1448","2","O3","gcc",6.103039
"46","89",46,"89.1","512","4","O1","clang",0.101443
"47","115",47,"115.1","1024","1","O3","clang",3.847273
"48","16",48,"16.1","1448","8","O0","gcc",8.923566
"49","48",49,"48.1","1448","8","O2","gcc",3.906958
"50","43",50,"43.1","1024","4","O2","gcc",1.206242
"51","28",51,"28.1","1448","4","O1","gcc",3.539174
"52","52",52,"52.1","1448","1","O3","gcc",11.447574
"53","51",53,"51.1","1024","1","O3","gcc",3.846860
"54","121",54,"121.1","512","4","O3","clang",0.103414
"55","96",55,"96.1","1448","8","O1","clang",3.961570
"56","1",56,"1.1","512","1","O0","gcc",1.086894
"57","19",57,"19.1","1024","1","O1","gcc",4.023142
"58","74",58,"74.1","724","4","O0","clang",0.894821
"59","71",59,"71.1","1024","2","O0","clang",6.068418
"60","94",60,"94.1","724","8","O1","clang",0.320345
"61","109",61,"109.1","512","8","O2","clang",0.105461
"62","10",62,"10.1","724","4","O0","gcc",0.890321
"63","101",63,"101.1","512","2","O2","clang",0.145680
"64","85",64,"85.1","512","2","O1","clang",0.155377
"65","77",65,"77.1","512","8","O0","clang",0.292317
"66","79",66,"79.1","1024","8","O0","clang",3.044003
"67","120",67,"120.1","1448","2","O3","clang",6.154436
"68","57",68,"57.1","512","4","O3","gcc",0.099707
"69","95",69,"95.1","1024","8","O1","clang",1.236397
"70","123",70,"123.1","1024","4","O3","clang",1.206755
"71","18",71,"18.1","724","1","O1","gcc",0.991545
"72","31",72,"31.1","1024","8","O1","gcc",1.230566
"73","72",73,"72.1","1448","2","O0","clang",17.444482
"74","99",74,"99.1","1024","1","O2","clang",3.846318
"75","32",75,"32.1","1448","8","O1","gcc",3.910566
"76","63",76,"63.1","1024","8","O3","gcc",1.259472
"77","30",77,"30.1","724","8","O1","gcc",0.329976
"78","112",78,"112.1","1448","8","O2","clang",3.796077
"79","34",79,"34.1","724","1","O2","gcc",0.913679
"80","26",80,"26.1","724","4","O1","gcc",0.314457
"81","54",81,"54.1","724","2","O3","gcc",0.476397
"82","11",82,"11.1","1024","4","O0","gcc",3.120331
"83","118",83,"118.1","724","2","O3","clang",0.473176
"84","25",84,"25.1","512","4","O1","gcc",0.119786
"85","2",85,"2.1","724","1","O0","gcc",3.449659
"86","14",86,"14.1","724","8","O0","gcc",0.906193
"87","102",87,"102.1","724","2","O2","clang",0.488249
"88","125",88,"125.1","512","8","O3","clang",0.108267
"89","40",89,"40.1","1448","2","O2","gcc",6.168117
"90","3",90,"3.1","1024","1","O0","gcc",11.844831
"91","106",91,"106.1","724","4","O2","clang",0.333198
"92","81",92,"81.1","512","1","O1","clang",0.303035
"93","66",93,"66.1","724","1","O0","clang",3.451196
"94","113",94,"113.1","512","1","O3","clang",0.282917
"95","29",95,"29.1","512","8","O1","gcc",0.121929
"96","21",96,"21.1","512","2","O1","gcc",0.156568
"97","35",97,"35.1","1024","1","O2","gcc",3.845563
"98","92",98,"92.1","1448","4","O1","clang",3.658064
"99","105",99,"105.1","512","4","O2","clang",0.099859
"100","107",100,"107.1","1024","4","O2","clang",1.209408
"101","12",101,"12.1","1448","4","O0","gcc",8.761310
"102","64",102,"64.1","1448","8","O3","gcc",3.782561
"103","87",103,"87.1","1024","2","O1","clang",2.176335
"104","38",104,"38.1","724","2","O2","gcc",0.466933
"105","65",105,"65.1","512","1","O0","clang",1.087050
"106","82",106,"82.1","724","1","O1","clang",0.988703
"107","86",107,"86.1","724","2","O1","clang",0.506959
"108","22",108,"22.1","724","2","O1","gcc",0.506710
"109","55",109,"55.1","1024","2","O3","gcc",2.079678
"110","4",110,"4.1","1448","1","O0","gcc",34.308907
"111","116",111,"116.1","1448","1","O3","clang",11.445825
"112","88",112,"88.1","1448","2","O1","clang",6.489574
"113","124",113,"124.1","1448","4","O3","clang",3.610472
"114","20",114,"20.1","1448","1","O1","gcc",11.962274
"115","47",115,"47.1","1024","8","O2","gcc",1.254908
"116","6",116,"6.1","724","2","O0","gcc",1.740552
"117","108",117,"108.1","1448","4","O2","clang",3.478797
"118","114",118,"114.1","724","1","O3","clang",0.916124
"119","17",119,"17.1","512","1","O1","gcc",0.304507
"120","100",120,"100.1","1448","1","O2","clang",11.449856
"121","41",121,"41.1","512","4","O2","gcc",0.095500
"122","37",122,"37.1","512","2","O2","gcc",0.161458
"123","111",123,"111.1","1024","8","O2","clang",1.231408
"124","36",124,"36.1","1448","1","O2","gcc",11.451365
"125","5",125,"5.1","512","2","O0","gcc",0.545916
"126","39",126,"39.1","1024","2","O2","gcc",2.075367
"127","61",127,"61.1","512","8","O3","gcc",0.118906
"128","128",128,"128.1","1448","8","O3","clang",3.800725
"129","36",129,"36.2","1448","1","O2","gcc",11.449445
"130","1",130,"1.2","512","1","O0","gcc",1.090605
"131","16",131,"16.2","1448","8","O0","gcc",9.230216
"132","80",132,"80.2","1448","8","O0","clang",9.207643
"133","69",133,"69.2","512","2","O0","clang",0.549112
"134","12",134,"12.2","1448","4","O0","gcc",9.047060
"135","99",135,"99.2","1024","1","O2","clang",3.846383
"136","90",136,"90.2","724","4","O1","clang",0.316326
"137","50",137,"50.2","724","1","O3","gcc",0.916488
"138","60",138,"60.2","1448","4","O3","gcc",3.627619
"139","33",139,"33.2","512","1","O2","gcc",0.287608
"140","49",140,"49.2","512","1","O3","gcc",0.286576
"141","15",141,"15.2","1024","8","O0","gcc",3.127571
"142","114",142,"114.2","724","1","O3","clang",0.917396
"143","5",143,"5.2","512","2","O0","gcc",0.545888
"144","102",144,"102.2","724","2","O2","clang",0.464989
"145","22",145,"22.2","724","2","O1","gcc",0.506842
"146","120",146,"120.2","1448","2","O3","clang",6.091027
"147","112",147,"112.2","1448","8","O2","clang",3.956919
"148","13",148,"13.2","512","8","O0","gcc",0.356766
"149","125",149,"125.2","512","8","O3","clang",0.108947
"150","97",150,"97.2","512","1","O2","clang",0.285265
"151","25",151,"25.2","512","4","O1","gcc",0.096908
