"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","optimization","compiler","test","time","L2.misses","L3.misses"
"1","196",1,"196.1","512","8","O2","clang","time",0.077059,"",""
"2","216",2,"216.1","512","2","O3","clang","time",0.146952,"",""
"3","122",3,"122.1","724","1","O0","clang","time",12.040437,"",""
"4","368",4,"368.1","1024","2","O0","clang","cache","",550279964,142115
"5","159",5,"159.1","1448","2","O1","clang","time",33.605196,"",""
"6","187",6,"187.1","724","2","O2","clang","time",3.716347,"",""
"7","461",7,"461.1","512","4","O3","clang","cache","",134998499,0
"8","91",8,"91.1","512","1","O3","gcc","time",0.325930,"",""
"9","241",9,"241.1","512","1","O0","gcc","cache","",134779589,0
"10","287",10,"287.1","724","8","O1","gcc","cache","",407074335,0
"11","355",11,"355.1","2048","16","O3","gcc","cache","",4729920797,3394344
"12","440",12,"440.1","2048","8","O2","clang","cache","",5153268279,1031718
"13","291",13,"291.1","512","16","O1","gcc","cache","",135413438,0
"14","203",14,"203.1","1024","16","O2","clang","time",3.640568,"",""
"15","285",15,"285.1","2048","4","O1","gcc","cache","",4984489083,858431
"16","305",16,"305.1","2048","1","O2","gcc","cache","",4071600580,1167745
"17","249",17,"249.1","1448","2","O0","gcc","cache","",1440323638,451903
"18","408",18,"408.1","1024","8","O1","clang","cache","",616249240,96237
"19","60",19,"60.1","2048","32","O1","gcc","time",16.182242,"",""
"20","113",20,"113.1","1024","16","O3","gcc","time",2.419017,"",""
"21","385",21,"385.1","2048","16","O0","clang","cache","",3738360797,248475
"22","31",22,"31.1","512","1","O1","gcc","time",0.554202,"",""
"23","191",23,"191.1","512","4","O2","clang","time",0.085214,"",""
"24","346",24,"346.1","512","8","O3","gcc","cache","",134757929,0
"25","367",25,"367.1","724","2","O0","clang","cache","",231366687,39631
"26","202",26,"202.1","724","16","O2","clang","time",0.973154,"",""
"27","411",27,"411.1","512","16","O1","clang","cache","",132171165,0
"28","263",28,"263.1","1024","16","O0","gcc","cache","",481776381,45508
"29","352",29,"352.1","724","16","O3","gcc","cache","",343955800,0
"30","306",30,"306.1","512","2","O2","gcc","cache","",134953970,0
"31","304",31,"304.1","1448","1","O2","gcc","cache","",1470106851,423465
"32","67",32,"67.1","724","2","O2","gcc","time",3.498854,"",""
"33","390",33,"390.1","2048","32","O0","clang","cache","",3779061130,54773
"34","459",34,"459.1","1448","2","O3","clang","cache","",1642325547,367031
"35","41",35,"41.1","512","4","O1","gcc","time",0.150119,"",""
"36","479",36,"479.1","1448","32","O3","clang","cache","",1438711642,352267
"37","62",37,"62.1","724","1","O2","gcc","time",5.028160,"",""
"38","280",38,"280.1","2048","2","O1","gcc","cache","",4696343857,968809
"39","112",39,"112.1","724","16","O3","gcc","time",0.846475,"",""
"40","160",40,"160.1","2048","2","O1","clang","time",96.175696,"",""
"41","445",41,"445.1","2048","16","O2","clang","cache","",4313247959,1510221
"42","457",42,"457.1","724","2","O3","clang","cache","",228374137,48376
"43","419",43,"419.1","1448","32","O1","clang","cache","",1624281763,258915
"44","391",44,"391.1","512","1","O1","clang","cache","",134992888,0
"45","471",45,"471.1","512","16","O3","clang","cache","",134689455,0
"46","171",46,"171.1","512","16","O1","clang","time",0.043892,"",""
"47","453",47,"453.1","1024","1","O3","clang","cache","",513430556,145250
"48","86",48,"86.1","512","32","O2","gcc","time",0.042650,"",""
"49","257",49,"257.1","724","8","O0","gcc","cache","",325951961,36851
"50","230",50,"230.1","2048","8","O3","clang","time",33.995529,"",""
"51","153",51,"153.1","1024","1","O1","clang","time",17.095836,"",""
