"name","run.no.in.std.order","run.no","run.no.std.rp","threads","compiler","time"
"1","4",1,"4.1","8","gcc",3.848389
"2","8",2,"8.1","8","clang",3.056484
"3","2",3,"2.1","2","gcc",7.556800
"4","7",4,"7.1","4","clang",3.020419
"5","6",5,"6.1","2","clang",6.105754
"6","5",6,"5.1","1","clang",11.903840
"7","3",7,"3.1","4","gcc",3.888116
"8","1",8,"1.1","1","gcc",14.856181
"9","5",9,"5.2","1","clang",11.912019
"10","8",10,"8.2","8","clang",3.076177
"11","7",11,"7.2","4","clang",3.064647
"12","6",12,"6.2","2","clang",6.102372
"13","3",13,"3.2","4","gcc",4.036229
"14","2",14,"2.2","2","gcc",7.549087
"15","4",15,"4.2","8","gcc",4.097366
"16","1",16,"1.2","1","gcc",14.860036
"17","5",17,"5.3","1","clang",11.914555
"18","7",18,"7.3","4","clang",3.046420
"19","1",19,"1.3","1","gcc",14.849402
"20","2",20,"2.3","2","gcc",7.586366
"21","4",21,"4.3","8","gcc",3.910842
"22","6",22,"6.3","2","clang",6.098463
"23","3",23,"3.3","4","gcc",4.088112
"24","8",24,"8.3","8","clang",3.247826
"25","7",25,"7.4","4","clang",3.313285
"26","4",26,"4.4","8","gcc",4.288875
"27","6",27,"6.4","2","clang",6.099616
"28","3",28,"3.4","4","gcc",4.280059
"29","8",29,"8.4","8","clang",3.369219
"30","5",30,"5.4","1","clang",11.911235
"31","2",31,"2.4","2","gcc",7.556176
"32","1",32,"1.4","1","gcc",14.861235
"33","7",33,"7.5","4","clang",3.060643
"34","1",34,"1.5","1","gcc",14.859062
"35","8",35,"8.5","8","clang",3.055201
"36","3",36,"3.5","4","gcc",4.003003
"37","6",37,"6.5","2","clang",6.103846
"38","2",38,"2.5","2","gcc",7.560016
"39","4",39,"4.5","8","gcc",4.183735
"40","5",40,"5.5","1","clang",11.911517
"41","4",41,"4.6","8","gcc",3.889408
"42","6",42,"6.6","2","clang",6.105371
"43","7",43,"7.6","4","clang",3.179593
"44","5",44,"5.6","1","clang",11.910749
"45","3",45,"3.6","4","gcc",3.873677
"46","2",46,"2.6","2","gcc",7.553702
"47","8",47,"8.6","8","clang",3.223702
"48","1",48,"1.6","1","gcc",14.852806
"49","5",49,"5.7","1","clang",11.909687
"50","4",50,"4.7","8","gcc",3.927077
"51","3",51,"3.7","4","gcc",3.991136
"52","7",52,"7.7","4","clang",3.233444
"53","6",53,"6.7","2","clang",6.110911
"54","1",54,"1.7","1","gcc",14.855474
"55","2",55,"2.7","2","gcc",7.599780
"56","8",56,"8.7","8","clang",3.093908
"57","3",57,"3.8","4","gcc",4.267329
"58","6",58,"6.8","2","clang",6.099081
"59","5",59,"5.8","1","clang",11.904324
"60","1",60,"1.8","1","gcc",14.855698
"61","2",61,"2.8","2","gcc",7.583924
"62","7",62,"7.8","4","clang",3.084653
"63","4",63,"4.8","8","gcc",4.220295
"64","8",64,"8.8","8","clang",3.311640
"65","7",65,"7.9","4","clang",3.355669
"66","5",66,"5.9","1","clang",11.908689
"67","6",67,"6.9","2","clang",6.107114
"68","8",68,"8.9","8","clang",3.136322
"69","1",69,"1.9","1","gcc",14.856976
"70","3",70,"3.9","4","gcc",3.981059
"71","4",71,"4.9","8","gcc",4.121097
"72","2",72,"2.9","2","gcc",7.551501
"73","3",73,"3.10","4","gcc",4.286602
"74","4",74,"4.10","8","gcc",4.379099
"75","7",75,"7.10","4","clang",3.379732
"76","5",76,"5.10","1","clang",11.908627
"77","8",77,"8.10","8","clang",3.073952
"78","1",78,"1.10","1","gcc",14.857275
"79","2",79,"2.10","2","gcc",7.562449
"80","6",80,"6.10","2","clang",6.109815
