Container, 0, 0, 0, 0.015042, 0.015042, 0
Container, 0, machine, 0, 0.015042, 0.015042, Linux
Container, Linux, node, 0, 0.015042, 0.015042, ana
Container, ana, P, 0, 0.015042, 0.015042, MPI Rank 1
State, MPI Rank 1, STATE, 0.000000, 0.015042, 0.015042, 0.000000, main
State, MPI Rank 1, STATE, 0.000009, 0.014931, 0.014922, 1.000000, MPI_Init
State, MPI Rank 1, STATE, 0.014939, 0.014943, 0.000004, 1.000000, MPI_Comm_rank
State, MPI Rank 1, STATE, 0.014945, 0.014947, 0.000002, 1.000000, MPI_Comm_size
State, MPI Rank 1, STATE, 0.014948, 0.014956, 0.000008, 1.000000, MPI_Recv
State, MPI Rank 1, STATE, 0.014966, 0.014979, 0.000013, 1.000000, MPI_Send
State, MPI Rank 1, STATE, 0.014982, 0.014988, 0.000005, 1.000000, MPI_Recv
State, MPI Rank 1, STATE, 0.014991, 0.014993, 0.000002, 1.000000, MPI_Send
State, MPI Rank 1, STATE, 0.014996, 0.014999, 0.000004, 1.000000, MPI_Recv
State, MPI Rank 1, STATE, 0.015002, 0.015004, 0.000002, 1.000000, MPI_Send
State, MPI Rank 1, STATE, 0.015007, 0.015010, 0.000003, 1.000000, MPI_Recv
State, MPI Rank 1, STATE, 0.015013, 0.015015, 0.000002, 1.000000, MPI_Send
State, MPI Rank 1, STATE, 0.015018, 0.015022, 0.000003, 1.000000, MPI_Recv
State, MPI Rank 1, STATE, 0.015024, 0.015027, 0.000002, 1.000000, MPI_Send
State, MPI Rank 1, STATE, 0.015029, 0.015040, 0.000010, 1.000000, MPI_Finalize
Container, ana, P, 0, 0.015042, 0.015042, MPI Rank 0
State, MPI Rank 0, STATE, 0.010489, 0.015042, 0.004553, 0.000000, main
State, MPI Rank 0, STATE, 0.010497, 0.014924, 0.004427, 1.000000, MPI_Init
State, MPI Rank 0, STATE, 0.014939, 0.014943, 0.000004, 1.000000, MPI_Comm_rank
State, MPI Rank 0, STATE, 0.014945, 0.014946, 0.000002, 1.000000, MPI_Comm_size
State, MPI Rank 0, STATE, 0.014948, 0.014953, 0.000005, 1.000000, MPI_Send
State, MPI Rank 0, STATE, 0.014965, 0.014981, 0.000015, 1.000000, MPI_Recv
State, MPI Rank 0, STATE, 0.014984, 0.014987, 0.000002, 1.000000, MPI_Send
State, MPI Rank 0, STATE, 0.014990, 0.014993, 0.000004, 1.000000, MPI_Recv
State, MPI Rank 0, STATE, 0.014996, 0.014999, 0.000002, 1.000000, MPI_Send
State, MPI Rank 0, STATE, 0.015001, 0.015005, 0.000003, 1.000000, MPI_Recv
State, MPI Rank 0, STATE, 0.015008, 0.015010, 0.000002, 1.000000, MPI_Send
State, MPI Rank 0, STATE, 0.015013, 0.015016, 0.000003, 1.000000, MPI_Recv
State, MPI Rank 0, STATE, 0.015019, 0.015021, 0.000002, 1.000000, MPI_Send
State, MPI Rank 0, STATE, 0.015024, 0.015027, 0.000003, 1.000000, MPI_Recv
State, MPI Rank 0, STATE, 0.015030, 0.015039, 0.000009, 1.000000, MPI_Finalize
