"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"1","274",1,"274.1","724","4","3.8.0","O1",""
"2","303",2,"303.1","1024","8","3.8.1","O1",""
"3","171",3,"171.1","1024","1","3.5.1","O1",""
"4","516",4,"516.1","1448","4","3.5.1","O3",""
"5","224",5,"224.1","1448","2","3.7.0","O1",""
"6","263",6,"263.1","1024","32","3.7.1","O1",""
"7","647",7,"647.1","1024","32","3.8.1","O3",""
"8","128",8,"128.1","1448","2","3.8.1","O0",""
"9","339",9,"339.1","1024","1","3.5.1","O2",""
"10","404",10,"404.1","1448","16","3.7.0","O2",""
"11","500",11,"500.1","1448","16","3.9.0","O2",""
"12","620",12,"620.1","1448","16","3.8.0","O3",""
"13","410",13,"410.1","724","1","3.7.1","O2",""
"14","286",14,"286.1","724","32","3.8.0","O1",""
"15","402",15,"402.1","724","16","3.7.0","O2",""
"16","431",16,"431.1","1024","32","3.7.1","O2",""
"17","351",17,"351.1","1024","8","3.5.1","O2",""
"18","577",18,"577.1","512","1","3.7.1","O3",""
"19","84",19,"84.1","1448","4","3.7.1","O0",""
"20","160",20,"160.1","1448","8","3.9.0","O0",""
"21","546",21,"546.1","724","16","3.6.2","O3",""
"22","43",22,"43.1","1024","16","3.6.2","O0",""
"23","271",23,"271.1","1024","2","3.8.0","O1",""
"24","491",24,"491.1","1024","4","3.9.0","O2",""
"25","521",25,"521.1","512","16","3.5.1","O3",""
"26","287",26,"287.1","1024","32","3.8.0","O1",""
"27","585",27,"585.1","512","4","3.7.1","O3",""
"28","375",28,"375.1","1024","8","3.6.2","O2",""
"29","501",29,"501.1","512","32","3.9.0","O2",""
"30","436",30,"436.1","1448","1","3.8.0","O2",""
"31","433",31,"433.1","512","1","3.8.0","O2",""
"32","95",32,"95.1","1024","32","3.7.1","O0",""
"33","558",33,"558.1","724","2","3.7.0","O3",""
"34","44",34,"44.1","1448","16","3.6.2","O0",""
"35","58",35,"58.1","724","4","3.7.0","O0",""
"36","309",36,"309.1","512","32","3.8.1","O1",""
"37","89",37,"89.1","512","16","3.7.1","O0",""
"38","401",38,"401.1","512","16","3.7.0","O2",""
"39","653",39,"653.1","512","2","3.9.0","O3",""
"40","229",40,"229.1","512","8","3.7.0","O1",""
"41","310",41,"310.1","724","32","3.8.1","O1",""
"42","497",42,"497.1","512","16","3.9.0","O2",""
"43","603",43,"603.1","1024","1","3.8.0","O3",""
"44","563",44,"563.1","1024","4","3.7.0","O3",""
"45","413",45,"413.1","512","2","3.7.1","O2",""
"46","246",46,"246.1","724","2","3.7.1","O1",""
"47","380",47,"380.1","1448","16","3.6.2","O2",""
"48","124",48,"124.1","1448","1","3.8.1","O0",""
"49","371",49,"371.1","1024","4","3.6.2","O2",""
"50","333",50,"333.1","512","32","3.9.0","O1",""
"51","221",51,"221.1","512","2","3.7.0","O1",""
"52","415",52,"415.1","1024","2","3.7.1","O2",""
"53","414",53,"414.1","724","2","3.7.1","O2",""
"54","193",54,"193.1","512","1","3.6.2","O1",""
"55","462",55,"462.1","724","2","3.8.1","O2",""
"56","8",56,"8.1","1448","2","3.5.1","O0",""
"57","161",57,"161.1","512","16","3.9.0","O0",""
"58","484",58,"484.1","1448","1","3.9.0","O2",""
"59","487",59,"487.1","1024","2","3.9.0","O2",""
"60","78",60,"78.1","724","2","3.7.1","O0",""
"61","236",61,"236.1","1448","16","3.7.0","O1",""
